3570,Vascular Plant,Antennaria racemosa,Raceme Pussytoes,
3571,Vascular Plant,Antennaria rosea,"Rosy Pussytoes, Rosy Pussy-Toes",
4698,Vascular Plant,Antennaria rosea ssp. confinis,Rosy Pussytoes,
1520,Vascular Plant,Antennaria solitaria,"Single-Head Pussytoes, Solitary Pussy Toes",
3572,Vascular Plant,Antennaria umbrinella,"Brown Everlasting, Umber Pussytoes",
1521,Vascular Plant,Anthemis arvensis,"Corn Camomile, Corn-Chamomile",
1522,Vascular Plant,Anthemis cotula,"Mayweed, Stinking Chamomile",
4699,Vascular Plant,Anthemis cotula,"Chamomile, Dog Fennel, Dogfennel, Mayweed, Mayweed Chamomile, Mayweed Dogfennel, Stinking Chamomile, Stinkweed",
3573,Vascular Plant,Anthemis tinctoria,Golden Chamomile,
2926,Vascular Plant,Anthoxanthum odoratum,Sweet Vernal Grass,
4626,Vascular Plant,Anthriscus caucalis,"Bur Chervil, Burr Chervil",
232,Bird,Anthus rubescens,Water Pipit,
468,Bird,Anthus rubescens,American Pipit,
233,Bird,Anthus spinoletta,Water Pipit,
818,Mammal,Antilocapra americana,"Antelope, Pronghorn",
840,Mammal,Antrozous pallidus,"Pallid Bat, Pallid Bat",Species of Concern
1324,Reptile,Apalone spinifera spinifera,"Eastern Spiny Softshell, Northern Spiny Softshell Turtle",
4360,Vascular Plant,Apera interrupta,"Dense Silkybent, Dense Silky-Bent, Silky Bentgrass",
3251,Vascular Plant,Aphanes microcarpa,Alchemilla,
1028,Nonvascular Plant,Aphanorrhegma serratum,Serrate Aphanorrhegma Moss,
551,Bird,Aphelocoma californica,Western Scrub-Jay,
2094,Vascular Plant,Apios americana,"American Groundnut, Ground-Nut",
1467,Vascular Plant,Aplectrum hyemale,"Adam-And-Eve Orchid, Puttyroot",
687,Fish,Aplodinotus grunniens,Freshwater Drum,
912,Mammal,Aplodontia rufa californica,Sierra Nevada Mountain Beaver,Species of Concern
2245,Vascular Plant,Apocynum androsaemifolium,Spreading Dogbane,
4047,Vascular Plant,Apocynum androsaemifolium,"Bitterroot, Flytrap Dogbane, Spreading Dogbane",
2246,Vascular Plant,Apocynum cannabinum,"Clasping-Leaf Dogbane, Indianhemp",
4048,Vascular Plant,Apocynum cannabinum,"Common Dogbane, Dogbane, Hemp Dogbane, Indian Hemp, Indian-Hemp, Prairie Dogbane",
4049,Vascular Plant,Apocynum cannabinum var. cannabinum,Indian Hemp,
1204,Nonvascular Plant,Apometzgeria pubescens,Apometzgeria,
84,Bird,Aquila chrysaetos,Golden Eagle,Species of Concern
3192,Vascular Plant,Aquilegia canadensis,"Columbine, Wild Columbine",
